   	-> LOADING ARTICLES... <- 20230209_151103
   	-> ARTICLES LOADED... <- 20230209_151252
   	-> SENDING ARTICLES TO SAGE X3 <- 20230209_151304
Checking connection to SAGE X3... 20230209_151304
1 Art OK : 20230209_151636
1 Art OK : 20230209_151636
1 Art OK : 20230209_151637
1 Art OK : 20230209_151637
1 Art OK : 20230209_151637
1 Art OK : 20230209_151637
1 Art OK : 20230209_151638
1 Art OK : 20230209_151638
1 Art OK : 20230209_151639
1 Art OK : 20230209_151639
1 Art OK : 20230209_151639
1 Art OK : 20230209_151640
1 Art OK : 20230209_151640
1 Art OK : 20230209_151640
1 Art OK : 20230209_151640
1 Art OK : 20230209_151641
1 Art OK : 20230209_151641
1 Art OK : 20230209_151641
1 Art OK : 20230209_151642
1 Art OK : 20230209_151642
1 Art OK : 20230209_151642
1 Art OK : 20230209_151643
1 Art OK : 20230209_151643
1 Art OK : 20230209_151643
1 Art OK : 20230209_151644
1 Art OK : 20230209_151644
1 Art OK : 20230209_151644
1 Art OK : 20230209_151645
1 Art OK : 20230209_151645
1 Art OK : 20230209_151645
1 Art OK : 20230209_151646
1 Art OK : 20230209_151646
1 Art OK : 20230209_151646
1 Art OK : 20230209_151647
1 Art OK : 20230209_151647
1 Art OK : 20230209_151647
1 Art OK : 20230209_151647
1 Art OK : 20230209_151648
1 Art OK : 20230209_151648
1 Art OK : 20230209_151648
1 Art OK : 20230209_151649
1 Art OK : 20230209_151649
1 Art OK : 20230209_151649
1 Art OK : 20230209_151650
1 Art OK : 20230209_151650
1 Art OK : 20230209_151650
1 Art OK : 20230209_151651
1 Art OK : 20230209_151651
1 Art OK : 20230209_151651
1 Art OK : 20230209_151651
1 Art OK : 20230209_151652
1 Art OK : 20230209_151652
1 Art OK : 20230209_151652
1 Art OK : 20230209_151653
1 Art OK : 20230209_151653
1 Art OK : 20230209_151653
1 Art OK : 20230209_151654
1 Art OK : 20230209_151654
1 Art OK : 20230209_151654
1 Art OK : 20230209_151654
1 Art OK : 20230209_151655
1 Art OK : 20230209_151655
1 Art OK : 20230209_151655
1 Art OK : 20230209_151656
1 Art OK : 20230209_151656
1 Art OK : 20230209_151656
1 Art OK : 20230209_151657
1 Art OK : 20230209_151657
1 Art OK : 20230209_151657
1 Art OK : 20230209_151657
1 Art OK : 20230209_151658
1 Art OK : 20230209_151658
1 Art OK : 20230209_151658
1 Art OK : 20230209_151659
1 Art OK : 20230209_151659
1 Art OK : 20230209_151659
1 Art OK : 20230209_151700
1 Art OK : 20230209_151700
1 Art OK : 20230209_151700
1 Art OK : 20230209_151701
1 Art OK : 20230209_151701
1 Art OK : 20230209_151701
1 Art OK : 20230209_151702
1 Art OK : 20230209_151702
1 Art OK : 20230209_151702
1 Art OK : 20230209_151703
1 Art OK : 20230209_151703
1 Art OK : 20230209_151703
1 Art OK : 20230209_151704
1 Art OK : 20230209_151704
1 Art OK : 20230209_151704
1 Art OK : 20230209_151704
1 Art OK : 20230209_151705
1 Art OK : 20230209_151705
1 Art OK : 20230209_151705
1 Art OK : 20230209_151706
1 Art OK : 20230209_151706
1 Art OK : 20230209_151706
1 Art OK : 20230209_151707
1 Art OK : 20230209_151707
1 Art OK : 20230209_151707
1 Art OK : 20230209_151707
1 Art OK : 20230209_151708
1 Art OK : 20230209_151708
1 Art OK : 20230209_151708
1 Art OK : 20230209_151709
1 Art OK : 20230209_151709
1 Art OK : 20230209_151709
1 Art OK : 20230209_151709
1 Art OK : 20230209_151710
